Latitude,Longitude,Heading,ShipName,Date,LadenState
15.4621,73.7429,359,ORISSA,31/12/2014,Unladen
45.850467,-85.682638,62,WALTER J MCCARTHY JR,31/12/2014,Laden
45.942683,-83.892467,239,AMERICAN INTEGRITY,31/12/2014,Laden
45.7243,-83.8023,186,INDIANA HARBOR,31/12/2014,Laden
8.39156,-62.6615,304.6,M_N RIO ORINOCO,31/12/2014,Unladen
47.3655,-87.8971,219,PAUL R TREGURTHA,31/12/2014,Unladen
13.4377,-16.5706,168,CSL ARGOSY,31/12/2014,Unladen
14.3248,-70.7336,38,BALDOCK,31/12/2014,Unladen
28.8153,-80.0931,157,CSL METIS,31/12/2014,Unladen
50.1947,-66.4502,296,HON HENRY JACKMAN,31/12/2014,Unladen
21.9178,-107.61,316,GDYNIA,31/12/2014,Unladen
24.727842,54.149922,340,E.OLDENDORFF,31/12/2014,Laden
8.75357,-60.4052,41,CSL ACADIAN,31/12/2014,Unladen
21.0183,87.7726,84,VIGHNRAJ,31/12/2014,Unladen
-20.657957,-40.072462,241,KRAKOW,31/12/2014,Unladen
-1.721017,116.643127,234,VICTORY UNION,31/12/2014,Unladen
8.47312,-13.3462,47,NELVANA,31/12/2014,Unladen
14.2062,-112.708,274,BULK CAJUN,31/12/2014,Laden
46.355217,31.081507,7,IRON DESTINY,31/12/2014,Laden
42.44745,133.111163,311,JK BORYEONG,31/12/2014,Unladen
-36.5612,-4.977,95,BERGE FJORD,31/12/2014,Laden
2.54927,105.034,204,BERGE VIK,31/12/2014,Unladen
29.8453,49.2052,321,ARETI,31/12/2014,Laden
22.648277,113.693247,345,GUANGZHONG,31/12/2014,Laden
14.804735,120.226497,354,ORE TUBARAO,31/12/2014,Unladen
-24.7191,-36.0301,282,ORE TIMBOPEBA,31/12/2014,Unladen
3.91622,119.504,9,RUI FU FA,31/12/2014,Unladen
31.0445,-23.2713,35,BERGE STAHL,31/12/2014,Laden
36.7083,122.786,167,GUO YUAN 1,31/12/2014,Laden
29.379,122.726,201,YI JIA,31/12/2014,Laden
22.019265,113.920565,85,PENG NIAN,31/12/2014,Laden
39.750667,119.662167,317,DAZHENG,31/12/2014,Unladen
32.007257,120.740742,79,YAOHAI,31/12/2014,Unladen
-30.4167,-10.8665,283,ORE BRUCUTU,31/12/2014,Laden
28.116,50.5947,127,EVRIALOS,31/12/2014,Unladen
51.1757,-41.0665,106,BEATE OLDENDORFF,31/12/2014,Laden
5.85691,-10.0888,289,C S L ATLAS,31/12/2014,Laden
-30.6372,37.2837,248,MARGOT N,31/12/2014,Unladen
24.963783,51.599433,276,PANAMAX JADE,31/12/2014,Laden
40.0348,26.215,252,ANNOULA,31/12/2014,Unladen
14.527513,120.870953,353,XING HENG DA,31/12/2014,Laden
22.289027,91.728897,10,ZHONG DE 1,31/12/2014,Laden
-25.7223,84.9934,78,SILVER BELL,31/12/2014,Laden
26.675767,121.02205,217,XIN JING HAI,31/12/2014,Laden
38.876875,118.559845,14,BEILUNHAI18,31/12/2014,Unladen
34.89547,119.772835,335,BEI LUN HAI 27,31/12/2014,Unladen
36.989767,122.802583,169,PENGHUA,31/12/2014,Laden
34.9037,127.751,102,BERGE VINSON,31/12/2014,Laden
25.166167,56.482,24,YANG,31/12/2014,Unladen
22.9172,70.3529,58,USOLIE,31/12/2014,Laden
3.58049,109.296,78,ORE VITORIA,31/12/2014,Laden
29.049347,48.160803,270,AGIOS EMILIANOS,31/12/2014,Laden
25.3216,51.836233,346,PRINCESS  NATALIE,31/12/2014,Laden
25.399798,51.828405,344,LONG YUAN,31/12/2014,Laden
20.736,72.618633,218,CHANDI PRASAD,31/12/2014,Unladen
32.1401,119.914,347,ASIA ENERGY,31/12/2014,Laden
27.2593,-88.498,151,BULK DISCOVERY,31/12/2014,Unladen
22.57007,120.305367,322,SHUN FU,31/12/2014,Laden
40.7507,132.344,210,GNS DONGHAE,31/12/2014,Laden
31.22319,122.10601,300,BEI LUN HAI 36,31/12/2014,Laden
-34.5551,17.3198,287,L. STEEL HARMONIOUS,31/12/2014,Unladen
27.4048,121.41,49,YUEDIAN 1,31/12/2014,Unladen
36.0303,129.98,187.3,MYRON N,31/12/2014,Laden
-6.30625,-33.1656,308,SHUNKANG,31/12/2014,Laden
-32.8783,7.98612,285,ANANGEL ZHONGTE,31/12/2014,Unladen
27.100003,56.068868,243,GALLANT JOHN,31/12/2014,Laden
-20.507808,117.256965,36,CAMELLIA,31/12/2014,Laden
36.7248,34.6137,63,SOLIDARNOSC,31/12/2014,Unladen
-35.195333,20.1755,90,M_V MARIGOLD,31/12/2014,Laden
26.191733,50.687603,333,EASTERN POWER,31/12/2014,Laden
42.775473,132.966008,329,BEI LUN HAI 9,31/12/2014,Unladen
36.0264,129.418,289,HYUNDAI UNIVERSAL,31/12/2014,Laden
33.259783,128.273063,169,M_V ANEMONE,31/12/2014,Unladen
-5.51933,147.429,156,HANJIN HAYPOINT,31/12/2014,Unladen
36.648542,122.88317,183,MING ZHOU 68,31/12/2014,Laden
29.79,123.069,12,YUE DIAN 3,31/12/2014,Unladen
